timestamp,event,mint,symbol,price_usd,size_usd,fee_usd,pnl_usd,insiders,reason
2026-08-27 14:33:07,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538313 holders > 1500)
2026-08-27 14:33:32,SKIP,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,,,,,6LXutJ,too_crowded (54266 holders > 1500)
2026-08-27 14:33:56,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:33:58,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37184 holders > 1500)
2026-08-27 14:34:45,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538327 holders > 1500)
2026-08-27 14:35:09,SKIP,C4MpJfdHhLeTQQHPQhgHSRPaR2EG5jcL8p78P9Atpump,WIGLET,,,,,6LXutJ,token_too_old (34423m > 120m)
2026-08-27 14:36:45,SKIP,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin,,,,,6LXutJ,too_crowded (170526 holders > 1500)
2026-08-27 14:37:10,SKIP,CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,xBTC,,,,,6LXutJ,too_crowded (3496 holders > 1500)
2026-08-27 14:41:24,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538405 holders > 1500)
2026-08-27 14:41:49,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:42:13,SKIP,CLoUDKc4Ane7HeQcPpE3YHnznRxhMimJ4MyaUqyHFzAu,CLOUD,,,,,6LXutJ,too_crowded (78910 holders > 1500)
2026-08-27 14:42:15,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538416 holders > 1500)
2026-08-27 14:44:59,SKIP,JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD,JupUSD,,,,,6LXutJ,too_crowded (12544 holders > 1500)
2026-08-27 14:45:23,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:46:58,SKIP,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH,,,,,6LXutJ,too_crowded (112477 holders > 1500)
2026-08-27 14:47:23,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:47:47,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538446 holders > 1500)
2026-08-27 14:48:33,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37184 holders > 1500)
2026-08-27 14:50:09,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:50:34,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72183 holders > 1500)
2026-08-27 14:50:36,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538477 holders > 1500)
2026-08-27 14:51:24,SKIP,7fDdLy2rmQKsPCkqUXEd1mN7yDfEzArc4VrctWmfkJBK,Z500,,,,,6LXutJ,too_crowded (6147 holders > 1500)
2026-08-27 14:53:22,SKIP,72QvBVwpxqmheEPfaCwWSWqEFsUy3rhWt6JhQBMNTwD1,ENA,,,,,6LXutJ,token_too_old (1077293m > 120m)
2026-08-27 14:56:05,SKIP,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,,,,,6LXutJ,too_crowded (82923 holders > 1500)
2026-08-27 14:59:39,SKIP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,,,,,6LXutJ,too_crowded (89919 holders > 1500)
2026-08-27 14:59:41,SKIP,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,NEON,,,,,6LXutJ,too_crowded (15980 holders > 1500)
2026-08-27 15:00:51,SKIP,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,,,,,6LXutJ,too_crowded (54264 holders > 1500)
2026-08-27 15:02:02,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136875 holders > 1500)
2026-08-27 15:02:04,SKIP,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH,,,,,6LXutJ,too_crowded (112472 holders > 1500)
2026-08-27 15:02:51,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:03:41,SKIP,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,GIGA,,,,,6LXutJ,too_crowded (83930 holders > 1500)
2026-08-27 15:04:51,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:05:39,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37185 holders > 1500)
2026-08-27 15:05:42,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538558 holders > 1500)
2026-08-27 15:06:09,SKIP,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,,,,,6LXutJ,too_crowded (54263 holders > 1500)
2026-08-27 15:07:19,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:08:30,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538564 holders > 1500)
2026-08-27 15:10:50,SKIP,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,,,,,6LXutJ,too_crowded (82931 holders > 1500)
2026-08-27 15:12:27,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72182 holders > 1500)
2026-08-27 15:12:29,SKIP,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Bonk,,,,,6LXutJ,too_crowded (1009997 holders > 1500)
2026-08-27 15:12:54,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136839 holders > 1500)
2026-08-27 15:16:25,SKIP,72QvBVwpxqmheEPfaCwWSWqEFsUy3rhWt6JhQBMNTwD1,ENA,,,,,6LXutJ,token_too_old (1077316m > 120m)
2026-08-27 15:18:46,SKIP,6ZnCkq5t8XG4q42b5JiVvU6hV5cZFaNdSBoFq5E7Vf9q,BLUAI,,,,,6LXutJ,token_too_old (405697m > 120m)
2026-08-27 15:20:22,SKIP,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,,,,,6LXutJ,too_crowded (5924 holders > 1500)
2026-08-27 15:23:28,SKIP,6ZnCkq5t8XG4q42b5JiVvU6hV5cZFaNdSBoFq5E7Vf9q,BLUAI,,,,,6LXutJ,token_too_old (405702m > 120m)
2026-08-27 15:23:30,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:25:04,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538649 holders > 1500)
2026-08-27 15:27:03,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538656 holders > 1500)
2026-08-27 15:30:39,SKIP,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,ZEX,,,,,6LXutJ,liquidity_too_low (769 < 1500)
2026-08-27 15:34:19,SKIP,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,SPX,,,,,6LXutJ,too_crowded (70350 holders > 1500)
2026-08-27 15:34:22,SKIP,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,SKR,,,,,6LXutJ,too_crowded (41174 holders > 1500)
2026-08-27 15:34:47,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538699 holders > 1500)
2026-08-27 15:35:37,SKIP,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,,,,,6LXutJ,too_crowded (70007 holders > 1500)
2026-08-27 15:38:21,SKIP,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,,,,,6LXutJ,too_crowded (64631 holders > 1500)
2026-08-27 15:40:43,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538706 holders > 1500)
2026-08-27 15:44:16,SKIP,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,HYPE,,,,,6LXutJ,too_crowded (29361 holders > 1500)
2026-08-27 15:46:12,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538729 holders > 1500)
2026-08-27 15:46:36,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538732 holders > 1500)
2026-08-27 15:47:00,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37179 holders > 1500)
2026-08-27 15:48:35,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538728 holders > 1500)
2026-08-27 15:49:00,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538735 holders > 1500)
2026-08-27 15:51:18,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:52:53,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:52:56,SKIP,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,,,,,6LXutJ,too_crowded (115680 holders > 1500)
2026-08-27 15:54:07,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 15:54:31,SKIP,xbwGuiwLGxKEJEwUye5t2KU1SMkSbwCVzUbr6jmheBn,ZEC,,,,,6LXutJ,liquidity_too_low (231 < 1500)
2026-08-27 15:54:33,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136780 holders > 1500)
2026-08-27 15:55:17,SKIP,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JitoSOL,,,,,6LXutJ,too_crowded (186820 holders > 1500)
2026-08-27 15:56:04,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136777 holders > 1500)
2026-08-27 15:56:51,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538768 holders > 1500)
2026-08-27 15:58:01,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37178 holders > 1500)
2026-08-27 15:58:25,SKIP,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,6LXutJ,too_crowded (19146 holders > 1500)
2026-08-27 15:58:49,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37179 holders > 1500)
2026-08-27 16:00:23,SKIP,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,,,,,6LXutJ,too_crowded (70004 holders > 1500)
2026-08-27 16:01:36,SKIP,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH,,,,,6LXutJ,too_crowded (112489 holders > 1500)
2026-08-27 16:02:48,SKIP,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,,,,,6LXutJ,too_crowded (70002 holders > 1500)
2026-08-27 16:03:36,SKIP,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,,,,,6LXutJ,too_crowded (18004 holders > 1500)
2026-08-27 16:04:00,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:04:03,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538794 holders > 1500)
2026-08-27 16:04:27,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538803 holders > 1500)
2026-08-27 16:04:29,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72183 holders > 1500)
2026-08-27 16:06:29,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:06:53,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72183 holders > 1500)
2026-08-27 16:07:41,SKIP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,,,,,6LXutJ,too_crowded (89916 holders > 1500)
2026-08-27 16:08:29,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:09:39,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538852 holders > 1500)
2026-08-27 16:11:36,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538873 holders > 1500)
2026-08-27 16:12:00,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538877 holders > 1500)
2026-08-27 16:12:02,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:12:26,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:12:51,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538875 holders > 1500)
2026-08-27 16:15:12,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72174 holders > 1500)
2026-08-27 16:16:00,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538875 holders > 1500)
2026-08-27 16:16:02,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:17:57,SKIP,HsRpHQn6VbyMs5b5j5SV6xQ2VvpvvCCzu19GjytVSCoz,STRK,,,,,6LXutJ,token_too_old (363311m > 120m)
2026-08-27 16:22:20,SKIP,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JitoSOL,,,,,6LXutJ,too_crowded (186816 holders > 1500)
2026-08-27 16:25:58,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72175 holders > 1500)
2026-08-27 16:27:34,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:30:00,SKIP,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,,,,,6LXutJ,too_crowded (18003 holders > 1500)
2026-08-27 16:32:23,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538960 holders > 1500)
2026-08-27 16:32:48,SKIP,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,,,,,6LXutJ,too_crowded (82970 holders > 1500)
2026-08-27 16:33:36,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136707 holders > 1500)
2026-08-27 16:35:11,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72178 holders > 1500)
2026-08-27 16:35:35,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136704 holders > 1500)
2026-08-27 16:37:08,SKIP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,,,,,6LXutJ,too_crowded (659352 holders > 1500)
2026-08-27 16:37:32,SKIP,oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,ORE,,,,,6LXutJ,too_crowded (27937 holders > 1500)
2026-08-27 16:37:56,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 16:37:58,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538992 holders > 1500)
2026-08-27 16:40:47,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (539009 holders > 1500)
